City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Punta Arenas,CL,53.71,clear sky,-53.15,-70.9167,Hotel Lacolet
17,Teacapan,MX,68.05,broken clouds,22.55,-105.75,illas y Hotel Maria Fernanda
22,Awbari,LY,52.57,clear sky,26.5921,12.7805,فندق اوباري
23,Castro,BR,60.01,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
26,Hermanus,ZA,63.59,light rain,-34.4187,19.2345,Aloe guest house
27,New Norfolk,AU,63.91,clear sky,-42.7826,147.0587,Woodbridge on the Derwent
31,Peniche,PT,64.29,light rain,39.3558,-9.3811,Residencial Maciel
36,Sharjah,AE,69.78,clear sky,25.3573,55.4033,shakeel bhai room
38,Cape Town,ZA,65.1,few clouds,-33.9258,18.4232,Townhouse Hotel
39,Lagoa,PT,61.0,broken clouds,39.05,-27.9833,Casa da Madrinha
42,Soto La Marina,MX,64.69,broken clouds,23.7667,-98.2167,Arellano
49,Ancud,CL,55.65,broken clouds,-41.8697,-73.8203,Cabañas
51,Victoria,HK,66.25,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
64,Ushuaia,AR,55.06,clear sky,-54.8,-68.3,Apart Hotel Aires del Beagle
74,Pisco,PE,69.85,clear sky,-13.7,-76.2167,La Portada
79,Bredasdorp,ZA,62.31,broken clouds,-34.5322,20.0403,Victoria Hotel
80,Encheng,CN,60.96,overcast clouds,22.1839,112.3026,金泉酒店
87,Mossendjo,CG,69.66,overcast clouds,-2.9506,12.7261,Louesse Palace
89,Santa Marinella,IT,52.48,few clouds,42.0345,11.8536,Albergo Miramare
90,Cidreira,BR,69.46,overcast clouds,-30.1811,-50.2056,Hotel Castelo
91,Te Anau,NZ,56.95,overcast clouds,-45.4167,167.7167,Lakeside Motels & Apartments
94,Ponta Do Sol,PT,69.01,overcast clouds,32.6667,-17.1,Estalagem Ponta do Sol
95,Shimoda,JP,50.36,few clouds,34.6667,138.95,ホテルウラガ
96,Sidmouth,GB,54.97,light rain,50.6909,-3.2397,Sidholme
102,Kabwe,ZM,63.27,overcast clouds,-14.4469,28.4464,Tuskers Hotel
111,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,Waterford Hotel
113,Chuy,UY,65.61,clear sky,-33.6971,-53.4616,Alerces
117,Lompoc,US,50.77,clear sky,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
137,Ahipara,NZ,69.93,clear sky,-35.1667,173.1667,YHA Ahipara
153,Tingo Maria,PE,69.49,overcast clouds,-9.2895,-76.0088,La Gran Muralla II
163,Guerrero Negro,MX,59.43,scattered clouds,27.9769,-114.0611,Plaza sal paraiso
183,Rio Grande,BR,67.71,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
186,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Hoedjesbaai
189,Sabha,LY,53.55,clear sky,27.0377,14.4283,فندق الكاظم-سبها
198,Ngunguru,NZ,69.62,scattered clouds,-35.6167,174.5,Oceans Tutukaka
201,Necochea,AR,67.32,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
203,Muros,ES,58.68,overcast clouds,42.7762,-9.0603,Pensión Ría de Muros
216,Tomatlan,MX,67.08,clear sky,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
220,Ferrol,ES,59.52,overcast clouds,43.4832,-8.2369,Hotel El Suizo
232,Puri,IN,64.92,broken clouds,19.8,85.85,Divine Beach Homestay
233,Chowchilla,US,53.44,mist,37.123,-120.2602,Holiday Inn Express & Suites
235,Camacha,PT,62.02,broken clouds,33.0833,-16.3333,Praia Dourada
240,Mar Del Plata,AR,68.95,clear sky,-38.0023,-57.5575,Nuevo Ostende
252,Dahegam,IN,67.77,scattered clouds,23.1667,72.8167,Royal Hotel
256,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
265,La Palma,US,59.5,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
286,San Ignacio,BZ,68.58,clear sky,17.1561,-89.0714,Rainforest Haven Inn
291,Rio Gallegos,AR,59.05,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
295,San Jose,US,50.86,overcast clouds,37.3394,-121.895,Hotel De Anza
298,Richards Bay,ZA,68.31,light rain,-28.783,32.0377,Protea Hotel
