City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.6872,128.8694,-15.92,93,100,8.88,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,53.71,62,0,9.22,clear sky
2,Half Moon Bay,US,37.4636,-122.4286,48.45,84,100,8.05,mist
3,Kaitangata,NZ,-46.2817,169.8464,51.4,66,100,6.46,overcast clouds
4,Luna,PH,10.9667,123.2333,79.02,88,100,13.71,overcast clouds
5,Quatre Cocos,MU,-20.2078,57.7625,78.1,72,55,11.43,light rain
6,Saint-Philippe,RE,-21.3585,55.7679,74.79,75,37,9.69,scattered clouds
7,Albany,US,42.6001,-73.9662,30.63,79,19,10.0,few clouds
8,Nikolskoye,RU,59.7035,30.7861,28.29,90,100,6.33,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,76.69,84,100,17.43,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,-22.45,76,20,3.44,few clouds
11,Kuito,AO,-12.3833,16.9333,56.05,97,99,5.41,overcast clouds
12,Atuona,PF,-9.8,-139.0333,78.64,78,80,19.64,broken clouds
13,San Patricio,US,28.017,-97.5169,49.87,88,98,10.27,overcast clouds
14,Tateyama,JP,34.9833,139.8667,47.25,45,33,9.95,scattered clouds
15,Luanda,AO,-8.8368,13.2343,77.0,78,40,2.3,scattered clouds
16,Zeya,RU,53.75,127.2667,-14.93,89,77,2.13,broken clouds
17,Teacapan,MX,22.55,-105.75,68.05,84,55,6.85,broken clouds
18,Kapaa,US,22.0752,-159.319,79.12,50,0,4.61,clear sky
19,Kapoeta,SS,4.7717,33.5903,75.2,45,95,2.8,overcast clouds
20,Isangel,VU,-19.55,169.2667,89.71,66,75,6.91,broken clouds
21,Port-Cartier,CA,50.0334,-66.8654,32.76,80,100,9.98,overcast clouds
22,Awbari,LY,26.5921,12.7805,52.57,89,0,9.66,clear sky
23,Castro,BR,-24.7911,-50.0119,60.01,97,85,5.93,overcast clouds
24,Busselton,AU,-33.65,115.3333,85.35,31,73,3.04,broken clouds
25,Roma,US,43.2128,-75.4557,29.08,93,100,8.05,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,63.59,77,60,8.59,light rain
27,New Norfolk,AU,-42.7826,147.0587,63.91,39,0,5.55,clear sky
28,Sinnamary,GF,5.3833,-52.95,77.4,87,100,10.87,overcast clouds
29,Obo,CF,5.3998,26.4869,71.17,39,20,4.36,few clouds
30,Hithadhoo,MV,-0.6,73.0833,80.6,72,47,11.43,scattered clouds
31,Peniche,PT,39.3558,-9.3811,64.29,94,100,23.49,light rain
32,Lorengau,PG,-2.0226,147.2712,86.0,65,100,4.45,overcast clouds
33,Cubuk,TR,40.2386,33.0322,35.35,64,40,12.66,scattered clouds
34,Jamestown,US,42.097,-79.2353,31.59,68,100,8.01,overcast clouds
35,Abashiri,JP,44.0213,144.2697,26.89,50,40,3.44,scattered clouds
36,Sharjah,AE,25.3573,55.4033,69.78,72,0,3.44,clear sky
37,Torbay,CA,47.6666,-52.7314,38.57,97,100,14.97,fog
38,Cape Town,ZA,-33.9258,18.4232,65.1,74,20,11.5,few clouds
39,Lagoa,PT,39.05,-27.9833,61.0,81,69,21.72,broken clouds
40,Benguela,AO,-12.5763,13.4055,72.18,79,66,3.33,broken clouds
41,Port Lincoln,AU,-34.7333,135.8667,71.31,65,100,9.82,light rain
42,Soto La Marina,MX,23.7667,-98.2167,64.69,90,63,2.42,broken clouds
43,Watertown,US,42.3709,-71.1828,34.86,69,20,13.8,few clouds
44,Severo-Kurilsk,RU,50.6789,156.125,29.26,90,100,34.09,snow
45,Ozinki,RU,51.1786,49.6769,21.24,72,99,7.0,overcast clouds
46,Saravena,CO,6.9538,-71.8752,71.76,89,100,3.22,overcast clouds
47,Calvinia,ZA,-31.4707,19.776,59.0,64,6,4.56,clear sky
48,Vaini,TO,-21.2,-175.2,87.96,79,20,13.8,few clouds
49,Ancud,CL,-41.8697,-73.8203,55.65,89,52,8.93,broken clouds
50,Hilo,US,19.7297,-155.09,76.24,83,75,0.0,broken clouds
51,Victoria,HK,22.2855,114.1577,66.25,67,98,8.01,overcast clouds
52,Balabac,PH,7.9868,117.0645,81.57,81,100,10.76,moderate rain
53,Arraial Do Cabo,BR,-22.9661,-42.0278,71.82,92,100,24.49,light rain
54,Mahebourg,MU,-20.4081,57.7,78.26,73,40,9.22,scattered clouds
55,Narasannapeta,IN,18.4167,84.05,70.52,47,37,4.83,scattered clouds
56,Mayumba,GA,-3.432,10.6554,76.77,89,100,3.8,light rain
57,Mataura,NZ,-46.1927,168.8643,54.59,64,100,5.08,overcast clouds
58,Progreso,MX,21.2833,-89.6667,78.12,82,49,10.07,scattered clouds
59,Soyo,AO,-6.1349,12.3689,76.69,82,88,4.83,overcast clouds
60,Fortuna,US,40.5982,-124.1573,45.52,89,0,4.61,clear sky
61,Temerloh,MY,3.4483,102.4176,77.99,93,99,1.01,overcast clouds
62,Umm Bab,QA,25.2142,50.8072,64.96,67,0,12.5,clear sky
63,Ribeira Grande,PT,38.5167,-28.7,63.77,89,79,15.99,broken clouds
64,Ushuaia,AR,-54.8,-68.3,55.06,54,0,2.3,clear sky
65,Champoton,MX,19.35,-90.7167,75.49,81,64,4.38,broken clouds
66,Butaritari,KI,3.0707,172.7902,81.16,80,69,15.68,light rain
67,Upernavik,GL,72.7868,-56.1549,27.37,77,100,8.81,overcast clouds
68,Georgetown,MY,5.4112,100.3354,82.33,80,20,6.91,few clouds
69,Krasnoselkup,RU,65.7,82.4667,-27.99,100,100,1.99,overcast clouds
70,Wanning,CN,18.8003,110.3967,69.39,82,99,6.89,overcast clouds
71,Chokurdakh,RU,70.6333,147.9167,-6.92,99,86,2.13,overcast clouds
72,Rangapara,IN,26.8167,92.65,67.05,57,54,2.93,broken clouds
73,Vardo,NO,70.3705,31.1107,28.38,93,75,2.3,light shower snow
74,Pisco,PE,-13.7,-76.2167,69.85,88,0,16.11,clear sky
75,Tessalit,ML,20.1986,1.0114,64.36,21,0,7.2,clear sky
76,Nkowakowa,ZA,-23.8878,30.2871,69.53,86,100,2.26,overcast clouds
77,Yumen,CN,40.2833,97.2,24.12,53,100,19.93,overcast clouds
78,Bethel,US,41.3712,-73.414,34.48,64,75,5.99,broken clouds
79,Bredasdorp,ZA,-34.5322,20.0403,62.31,78,67,4.94,broken clouds
80,Encheng,CN,22.1839,112.3026,60.96,47,98,7.43,overcast clouds
81,Leh,IN,34.1667,77.5833,10.85,53,1,1.61,clear sky
82,Airai,TL,-8.9266,125.4092,62.46,94,100,2.13,moderate rain
83,Ahuimanu,US,21.4447,-157.8378,72.61,70,40,12.66,scattered clouds
84,Mishelevka,RU,52.8575,103.1719,2.82,84,98,3.27,overcast clouds
85,General Roca,AR,-39.0333,-67.5833,72.43,52,100,11.77,overcast clouds
86,Hovd,MN,48.0056,91.6419,4.6,77,100,2.01,overcast clouds
87,Mossendjo,CG,-2.9506,12.7261,69.66,99,100,2.13,overcast clouds
88,Matagami,CA,49.7502,-77.6328,15.91,92,100,10.36,overcast clouds
89,Santa Marinella,IT,42.0345,11.8536,52.48,84,24,3.58,few clouds
90,Cidreira,BR,-30.1811,-50.2056,69.46,85,95,20.38,overcast clouds
91,Te Anau,NZ,-45.4167,167.7167,56.95,63,89,5.88,overcast clouds
92,Bac Lieu,VN,9.285,105.7244,79.27,66,47,9.86,scattered clouds
93,Venado Tuerto,AR,-33.7456,-61.9688,75.76,42,0,9.64,clear sky
94,Ponta Do Sol,PT,32.6667,-17.1,69.01,85,100,5.08,overcast clouds
95,Shimoda,JP,34.6667,138.95,50.36,54,17,1.45,few clouds
96,Sidmouth,GB,50.6909,-3.2397,54.97,95,75,8.05,light rain
97,Bandarbeyla,SO,9.4942,50.8122,75.43,76,48,17.43,scattered clouds
98,Nioro,GM,13.35,-15.75,73.4,18,24,7.52,few clouds
99,Bluff,NZ,-46.6,168.3333,52.52,63,64,13.44,broken clouds
100,The Valley,AI,18.217,-63.0578,79.11,76,3,18.48,clear sky
101,Honiara,SB,-9.4333,159.95,85.6,72,90,4.5,overcast clouds
102,Kabwe,ZM,-14.4469,28.4464,63.27,97,100,3.83,overcast clouds
103,Lae,PG,-6.7221,146.9847,92.07,61,100,5.95,overcast clouds
104,Aklavik,CA,68.2191,-135.0107,-23.28,89,99,7.23,overcast clouds
105,Geraldton,AU,-28.7667,114.6,86.41,35,78,4.61,broken clouds
106,Puerto Ayora,EC,-0.7393,-90.3518,71.55,94,39,6.46,scattered clouds
107,Kodiak,US,57.79,-152.4072,27.91,69,0,11.5,clear sky
108,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,72.43,95,90,1.66,overcast clouds
109,Lata,PT,40.1629,-8.3327,60.93,96,100,9.28,overcast clouds
110,Port Alfred,ZA,-33.5906,26.891,61.18,83,72,4.0,broken clouds
111,Port Elizabeth,ZA,-33.918,25.5701,64.69,78,0,14.97,clear sky
112,Mogadishu,SO,2.0371,45.3438,77.02,83,51,16.87,broken clouds
113,Chuy,UY,-33.6971,-53.4616,65.61,88,0,9.44,clear sky
